TDS,DEVELOPMENT,BOROUGH,LAT,LON,TOTAL_POP,POP14_18,POP18_24,POP_60_UP,HAS_ECO_HUB,AREA_FLOOD,AREA_BUILD,BUILT,OUTREACH,TDS_OUTREACH,ETT_OUTREACH,RECRUITMENT,TDS_RECRUITMENT,ETT_RECRUITMENT
261.0,UNITY PLAZA (SITES 4-27),BROOKLYN,40.6667845,-73.897726,1086.0,,124.0,,0.0,0.0,2.89452687176774,0,0.0,NaN,NaN,0.0,72.0,23.0
262.0,HARBORVIEW TERRACE,MANHATTAN,40.7684238,-73.990593,630.0,,42.0,,0.0,0.0,1.5379718413605,0,0.0,NaN,NaN,0.0,123.0,37.0
263.0,EAST NEW YORK CITY LINE,BROOKLYN,40.6684585,-73.873618,252.0,,39.0,,0.0,0.0,1.35501580707264,0,0.0,NaN,NaN,0.0,72.0,38.0
264.0,BRACETTI PLAZA,MANHATTAN,40.7222887,-73.98113,246.0,,20.0,,0.0,0.0,0.408944,0,0.0,23.0,8.651669728976186,0.0,23.0,8.0
265.0,45 ALLEN STREET,MANHATTAN,40.7166653,-73.992152,227.0,,30.0,,0.0,0.0,0.432038,0,0.0,NaN,NaN,0.0,60.0,18.0
266.0,TWO BRIDGES URA (SITE 7),MANHATTAN,40.7109315,-73.986289,587.0,,57.0,,0.0,0.545967,0.357482,0,0.0,NaN,NaN,0.0,60.0,19.0
267.0,MORRISANIA AIR RIGHTS,BRONX,40.8239555,-73.91787,1670.0,,192.0,,0.0,0.0,3.8293075519124,0,0.0,NaN,NaN,0.0,59.0,16.0
268.0,THOMAS APARTMENTS,MANHATTAN,40.7897874,-73.970297,97.0,,0.0,,0.0,0.0,0.064727,0,0.0,NaN,NaN,0.0,123.0,25.0
271.0,BORINQUEN PLAZA II,BROOKLYN,40.7053583,-73.940298,1064.0,,144.0,,0.0,0.0,1.68980713035248,0,0.0,NaN,NaN,0.0,72.0,32.0
273.0,FHA REPOSSESSED HOUSES (GROUP VI),QUEENS,40.6920935,-73.768542,6.0,,1.0,,0.0,0.0,0.286907,0,0.0,NaN,NaN,0.0,NaN,NaN
274.0,FHA REPOSSESSED HOUSES (GROUP VII),QUEENS,40.6871151,-73.764558,9.0,,2.0,,0.0,0.0,0.382018,0,0.0,NaN,NaN,0.0,NaN,NaN
275.0,FHA REPOSSESSED HOUSES (GROUP VIII),QUEENS,40.6914286,-73.769432,12.0,,3.0,,0.0,0.0,0.439303,0,0.0,NaN,NaN,0.0,NaN,NaN
276.0,LONG ISLAND BAPTIST HOUSES,BROOKLYN,40.6675248,-73.897224,498.0,,62.0,,0.0,0.0,1.31194926568084,0,0.0,NaN,NaN,0.0,72.0,22.0
277.0,MORRIS PARK SENIOR CITIZENS HOME,MANHATTAN,40.8054093,-73.941774,108.0,,0.0,,0.0,0.0,0.094052,0,0.0,NaN,NaN,0.0,74.0,14.0
279.0,SHELTON HOUSE,QUEENS,40.7064559,-73.798852,161.0,,0.0,,0.0,0.0,0.171234,0,0.0,NaN,NaN,0.0,72.0,33.0
280.0,SACK WERN,BRONX,40.8198403,-73.866546,845.0,,96.0,,0.0,0.0,1.71772972888892,0,0.0,NaN,NaN,0.0,59.0,34.0
